"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"President and Vice President","JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS","Democratic Party","2020-11-03T00:00:00.000","168371","127897","0","296268","58.7822","2020-11-11T14:45:36.000","2020 General Election"
"President and Vice President","DONALD J. TRUMP AND MICHAEL R. PENCE","Republican Party","2020-11-03T00:00:00.000","168579","32024","0","200603","39.8014","2020-11-11T14:45:36.000","2020 General Election"
"President and Vice President","HOWIE HAWKINS AND ANGELA NICOLE WALKER","Green Party Of Delaware","2020-11-03T00:00:00.000","1427","712","0","2139","0.424396","2020-11-11T14:45:36.000","2020 General Election"
"President and Vice President","JO JORGENSEN AND JEREMY ""SPIKE"" COHEN","Libertarian Party","2020-11-03T00:00:00.000","3761","1239","0","5000","0.992044","2020-11-11T14:45:36.000","2020 General Election"
"U.S. Senator","CHRISTOPHER A. COONS","Democratic Party","2020-11-03T00:00:00.000","164748","127056","0","291804","59.4384","2020-11-11T14:45:36.000","2020 General Election"
"U.S. Senator","LAUREN WITZKE","Republican Party","2020-11-03T00:00:00.000","156333","29721","0","186054","37.8979","2020-11-11T14:45:36.000","2020 General Election"
"U.S. Senator","MARK W. TURLEY","Independent Party Of Delaware","2020-11-03T00:00:00.000","5158","2675","0","7833","1.59553","2020-11-11T14:45:36.000","2020 General Election"
"U.S. Senator","NADINE M. FROST","Libertarian Party","2020-11-03T00:00:00.000","3663","1581","0","5244","1.06817","2020-11-11T14:45:36.000","2020 General Election"
"Representative in Congress","LISA BLUNT ROCHESTER","Democratic Party","2020-11-03T00:00:00.000","158740","122642","0","281382","57.6284","2020-11-11T14:45:36.000","2020 General Election"
"Representative in Congress","LEE MURPHY","Republican Party","2020-11-03T00:00:00.000","162250","34142","0","196392","40.222","2020-11-11T14:45:36.000","2020 General Election"
"Representative in Congress","CATHERINE S. PURCELL","Independent Party Of Delaware","2020-11-03T00:00:00.000","4117","2565","0","6682","1.36851","2020-11-11T14:45:36.000","2020 General Election"
"Representative in Congress","DAVID L. ROGERS","Libertarian Party","2020-11-03T00:00:00.000","2673","1141","0","3814","0.781125","2020-11-11T14:45:36.000","2020 General Election"
"Governor","JOHN C. CARNEY JR.","Democratic Party","2020-11-03T00:00:00.000","166169","126734","0","292903","59.4564","2020-11-11T14:45:36.000","2020 General Election"
"Governor","JULIANNE E. MURRAY","Republican Party","2020-11-03T00:00:00.000","159653","30659","0","190312","38.6314","2020-11-11T14:45:36.000","2020 General Election"
"Governor","KATHY S. DEMATTEIS","Independent Party Of Delaware","2020-11-03T00:00:00.000","3860","2290","0","6150","1.24839","2020-11-11T14:45:36.000","2020 General Election"
"Governor","JOHN J. MACHUREK","Libertarian Party","2020-11-03T00:00:00.000","2433","837","0","3270","0.663777","2020-11-11T14:45:36.000","2020 General Election"
"Lieutenant Governor","BETHANY HALL-LONG","Democratic Party","2020-11-03T00:00:00.000","162024","123614","0","285638","59.1406","2020-11-11T14:45:36.000","2020 General Election"
"Lieutenant Governor","DONYALE HALL","Republican Party","2020-11-03T00:00:00.000","162859","34484","0","197343","40.8594","2020-11-11T14:45:36.000","2020 General Election"
"Insurance Commissioner","TRINIDAD NAVARRO","Democratic Party","2020-11-03T00:00:00.000","165941","120802","0","286743","59.4843","2020-11-11T14:45:36.000","2020 General Election"
"Insurance Commissioner","JULIA PILLSBURY","Republican Party","2020-11-03T00:00:00.000","158927","36378","0","195305","40.5157","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 1","SARAH MCBRIDE","Democratic Party","2020-11-03T00:00:00.000","9776","7089","0","16865","73.2974","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 1","STEVEN WASHINGTON","Republican Party","2020-11-03T00:00:00.000","4992","1152","0","6144","26.7026","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 5","KYLE EVANS GAY","Democratic Party","2020-11-03T00:00:00.000","6879","6596","0","13475","52.3138","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 5","CATHERINE A. CLOUTIER","Republican Party","2020-11-03T00:00:00.000","8761","3522","0","12283","47.6862","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 7","SPIROS MANTZAVINOS","Democratic Party","2020-11-03T00:00:00.000","6473","3926","0","10399","51.3531","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 7","ANTHONY DELCOLLO","Republican Party","2020-11-03T00:00:00.000","7983","1868","0","9851","48.6469","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 8","DAVID P. SOKOLA","Democratic Party","2020-11-03T00:00:00.000","6440","6841","0","13281","100","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 9","JACK WALSH","Democratic Party","2020-11-03T00:00:00.000","7647","5081","0","12728","67.0742","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 9","TODD RUCKLE","Republican Party","2020-11-03T00:00:00.000","5269","979","0","6248","32.9258","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 12","NICOLE POORE","Democratic Party","2020-11-03T00:00:00.000","13549","8057","0","21606","100","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 13","MARIE PINKNEY","Democratic Party","2020-11-03T00:00:00.000","9351","4693","0","14044","75.8356","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 13","ALEXANDER M. HOMICH","Republican Party","2020-11-03T00:00:00.000","3767","708","0","4475","24.1644","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 14","BRUCE C. ENNIS","Democratic Party","2020-11-03T00:00:00.000","10804","5688","0","16492","59.4928","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 14","CRAIG PUGH","Republican Party","2020-11-03T00:00:00.000","9700","1529","0","11229","40.5072","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 15","JACI HUGG","Democratic Party","2020-11-03T00:00:00.000","6984","4789","0","11773","44.6624","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 15","DAVID LAWSON","Republican Party","2020-11-03T00:00:00.000","12431","2156","0","14587","55.3376","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 19","BRIAN G. PETTYJOHN","Republican Party","2020-11-03T00:00:00.000","12104","4220","0","16324","100","2020-11-11T14:45:36.000","2020 General Election"
"State Senator District 20","GERALD W. HOCKER","Republican Party","2020-11-03T00:00:00.000","16702","7299","0","24001","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 1","NNAMDI O. CHUKWUOCHA","Democratic Party","2020-11-03T00:00:00.000","6013","3215","0","9228","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2020-11-03T00:00:00.000","4637","1837","0","6474","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 3","SHERRY DORSEY WALKER","Democratic Party","2020-11-03T00:00:00.000","4107","1665","0","5772","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 4","GERALD L. BRADY","Democratic Party","2020-11-03T00:00:00.000","4658","4672","0","9330","70.0188","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 4","JORDAN NALLY","Republican Party","2020-11-03T00:00:00.000","3086","909","0","3995","29.9812","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 5","KENDRA JOHNSON","Democratic Party","2020-11-03T00:00:00.000","5954","2784","0","8738","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 6","DEBRA HEFFERNAN","Democratic Party","2020-11-03T00:00:00.000","5610","4487","0","10097","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 7","LARRY LAMBERT","Democratic Party","2020-11-03T00:00:00.000","4661","3547","0","8208","67.1521","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 7","JAMES W. HAUBRICH","Republican Party","2020-11-03T00:00:00.000","3162","667","0","3829","31.3262","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 7","SCOTT A. GESTY","Libertarian Party","2020-11-03T00:00:00.000","122","64","0","186","1.52172","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 8","SHERAE'A ""RAE"" MOORE","Democratic Party","2020-11-03T00:00:00.000","4872","2695","0","7567","56.9718","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 8","DANIEL ZITOFSKY","Republican Party","2020-11-03T00:00:00.000","4764","951","0","5715","43.0282","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 9","DEBBIE HARRINGTON","Democratic Party","2020-11-03T00:00:00.000","4882","3212","0","8094","45.2027","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 9","KEVIN S. HENSLEY","Republican Party","2020-11-03T00:00:00.000","7870","1942","0","9812","54.7973","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 10","SEAN MATTHEWS","Democratic Party","2020-11-03T00:00:00.000","5033","3944","0","8977","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 11","JEFFREY N. SPIEGELMAN","Republican Party","2020-11-03T00:00:00.000","7137","1671","0","8808","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 12","KRISTA GRIFFITH","Democratic Party","2020-11-03T00:00:00.000","4523","4736","0","9259","59.9599","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 12","JEFFREY CRAGG","Republican Party","2020-11-03T00:00:00.000","4735","1448","0","6183","40.0402","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 13","JOHN L. MITCHELL JR.","Democratic Party","2020-11-03T00:00:00.000","5285","2261","0","7546","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 14","PETE SCHWARTZKOPF","Democratic Party","2020-11-03T00:00:00.000","5024","7798","0","12822","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 15","VALERIE LONGHURST","Democratic Party","2020-11-03T00:00:00.000","5472","3640","0","9112","67.8481","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 15","MICHAEL HIGGIN","Republican Party","2020-11-03T00:00:00.000","3464","627","0","4091","30.4617","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 15","AMY A. MERLINO","Libertarian Party","2020-11-03T00:00:00.000","155","72","0","227","1.69025","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 16","FRANKLIN D. COOKE JR.","Democratic Party","2020-11-03T00:00:00.000","5416","2263","0","7679","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 17","MELISSA MINOR-BROWN","Democratic Party","2020-11-03T00:00:00.000","5309","2692","0","8001","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 18","DAVID S. BENTZ","Democratic Party","2020-11-03T00:00:00.000","5016","2756","0","7772","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 19","KIMBERLY A. WILLIAMS","Democratic Party","2020-11-03T00:00:00.000","4780","2594","0","7374","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 20","STEPHEN T. SMYK","Republican Party","2020-11-03T00:00:00.000","8347","4536","0","12883","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 21","STEPHANIE BARRY","Democratic Party","2020-11-03T00:00:00.000","3403","2648","0","6051","47.4439","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 21","MICHAEL RAMONE","Republican Party","2020-11-03T00:00:00.000","5064","1639","0","6703","52.5561","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 22","LUANN D'AGOSTINO","Democratic Party","2020-11-03T00:00:00.000","2545","2892","0","5437","36.6869","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 22","MICHAEL F. SMITH","Republican Party","2020-11-03T00:00:00.000","6472","2911","0","9383","63.3131","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 23","PAUL BAUMBACH","Democratic Party","2020-11-03T00:00:00.000","3254","3529","0","6783","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 24","EDWARD OSIENSKI","Democratic Party","2020-11-03T00:00:00.000","4460","2721","0","7181","70.1749","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 24","GREGORY WILPS","Republican Party","2020-11-03T00:00:00.000","2619","433","0","3052","29.8251","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 25","JOHN KOWALKO JR.","Democratic Party","2020-11-03T00:00:00.000","3220","2821","0","6041","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 26","MADINAH WILSON-ANTON","Democratic Party","2020-11-03T00:00:00.000","4337","2596","0","6933","71.5701","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 26","TIMOTHY S. CONRAD","Republican Party","2020-11-03T00:00:00.000","2217","537","0","2754","28.4299","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 27","ERIC A. MORRISON","Democratic Party","2020-11-03T00:00:00.000","4746","3101","0","7847","61.4391","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 27","DONALD CARL ""TRIPP"" KEISTER III","Republican Party","2020-11-03T00:00:00.000","3963","737","0","4700","36.7992","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 27","WILLIAM M. HINDS","Libertarian Party","2020-11-03T00:00:00.000","148","77","0","225","1.76167","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 28","WILLIAM CARSON","Democratic Party","2020-11-03T00:00:00.000","5412","2755","0","8167","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 29","WILLIAM BUSH","Democratic Party","2020-11-03T00:00:00.000","4349","3338","0","7687","55.8324","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 29","ROBIN R. HAYES","Republican Party","2020-11-03T00:00:00.000","5060","1021","0","6081","44.1676","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 30","CHUCK GROCE","Democratic Party","2020-11-03T00:00:00.000","2139","1189","0","3328","31.8988","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 30","SHANNON W. MORRIS","Republican Party","2020-11-03T00:00:00.000","6332","773","0","7105","68.1012","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 31","SEAN M. LYNN","Democratic Party","2020-11-03T00:00:00.000","3857","3032","0","6889","69.2084","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 31","RICHARD HARPSTER","Republican Party","2020-11-03T00:00:00.000","2299","766","0","3065","30.7916","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 32","ANDRIA BENNETT","Democratic Party","2020-11-03T00:00:00.000","3198","2093","0","5291","63.2214","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 32","CHERYL PRECOURT","Republican Party","2020-11-03T00:00:00.000","2410","668","0","3078","36.7786","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 33","RACHAEL KING","Democratic Party","2020-11-03T00:00:00.000","2857","1984","0","4841","41.5394","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 33","CHARLES S. POSTLES JR.","Republican Party","2020-11-03T00:00:00.000","5793","1020","0","6813","58.4606","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 34","ADEWUNMI ""ADE"" KUFORIJI","Democratic Party","2020-11-03T00:00:00.000","3039","2433","0","5472","42.6766","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 34","LYNDON D. YEARICK","Republican Party","2020-11-03T00:00:00.000","5618","1732","0","7350","57.3233","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 35","DARRYNN HARRIS","Democratic Party","2020-11-03T00:00:00.000","1963","1290","0","3253","31.4421","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 35","JESSE R. VANDERWENDE","Republican Party","2020-11-03T00:00:00.000","5987","1106","0","7093","68.5579","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 36","GREG FULLER","Democratic Party","2020-11-03T00:00:00.000","2385","1658","0","4043","36.2861","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 36","BRYAN W. SHUPE","Republican Party","2020-11-03T00:00:00.000","5842","1257","0","7099","63.7139","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 37","RUTH BRIGGS KING","Republican Party","2020-11-03T00:00:00.000","6888","2872","0","9760","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 38","RONALD E. GRAY","Republican Party","2020-11-03T00:00:00.000","10138","5271","0","15409","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 39","DANIEL B. SHORT","Republican Party","2020-11-03T00:00:00.000","5639","1781","0","7420","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 40","TIMOTHY D. DUKES","Republican Party","2020-11-03T00:00:00.000","6883","1651","0","8534","100","2020-11-11T14:45:36.000","2020 General Election"
"State Representative District 41","RICHARD G. COLLINS","Republican Party","2020-11-03T00:00:00.000","7129","1854","0","8983","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC Clerk of the Peace","LISA DARRAH","Democratic Party","2020-11-03T00:00:00.000","127068","81681","0","208749","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Executive","MATTHEW MEYER","Democratic Party","2020-11-03T00:00:00.000","127652","81828","0","209480","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC President of County Council","KAREN HARTLEY-NAGLE","Democratic Party","2020-11-03T00:00:00.000","116625","72127","0","188752","84.1017","2020-11-11T14:45:36.000","2020 General Election"
"NCC President of County Council","BRIAN G. WHITAKER","Independent Party Of Delaware","2020-11-03T00:00:00.000","21624","14057","0","35681","15.8983","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 7","GEORGE SMILEY","Democratic Party","2020-11-03T00:00:00.000","11592","5142","0","16734","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 8","JOHN CARTIER","Democratic Party","2020-11-03T00:00:00.000","10698","7285","0","17983","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 9","TIMOTHY P. SHELDON","Democratic Party","2020-11-03T00:00:00.000","9205","5954","0","15159","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 10","JEA P. STREET","Democratic Party","2020-11-03T00:00:00.000","9202","3670","0","12872","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 11","DAVID L. TACKETT","Democratic Party","2020-11-03T00:00:00.000","11095","6786","0","17881","100","2020-11-11T14:45:36.000","2020 General Election"
"NCC County Council District 12","WILLIAM BELL","Democratic Party","2020-11-03T00:00:00.000","15563","9065","0","24628","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Mayor","MICHAEL S. PURZYCKI","Democratic Party","2020-11-03T00:00:00.000","16798","8642","0","25440","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Treasurer","DAWAYNE SIMS","Democratic Party","2020-11-03T00:00:00.000","16397","8544","0","24941","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City President of City Council","TRIPPI CONGO","Democratic Party","2020-11-03T00:00:00.000","16918","8091","0","25009","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 1","LINDA GRAY","Democratic Party","2020-11-03T00:00:00.000","2576","1229","0","3805","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 2","SHANE DARBY","Democratic Party","2020-11-03T00:00:00.000","2389","1172","0","3561","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 3","ZANTHIA OLIVER","Democratic Party","2020-11-03T00:00:00.000","1692","458","0","2150","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 4","MICHELLE HARLEE","Democratic Party","2020-11-03T00:00:00.000","2196","1154","0","3350","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 5","BREGETTA A. FIELDS","Democratic Party","2020-11-03T00:00:00.000","1106","528","0","1634","64.8928","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 5","ALEXANDER HACKETT","Independent Party Of Delaware","2020-11-03T00:00:00.000","724","160","0","884","35.1072","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 6","YOLANDA MCCOY","Democratic Party","2020-11-03T00:00:00.000","1755","664","0","2419","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 7","CHRIS JOHNSON","Democratic Party","2020-11-03T00:00:00.000","1797","868","0","2665","93.4104","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 7","DAYL C. THOMAS","Libertarian Party","2020-11-03T00:00:00.000","123","65","0","188","6.58955","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council District 8","NATHAN FIELD","Democratic Party","2020-11-03T00:00:00.000","2374","2218","0","4592","100","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","MARIA D. CABRERA","Democratic Party","2020-11-03T00:00:00.000","13112","6805","0","19917","26.3073","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","RYSHEEMA DIXON","Democratic Party","2020-11-03T00:00:00.000","13416","6042","0","19458","25.701","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","LORETTA WALSH","Democratic Party","2020-11-03T00:00:00.000","13619","6620","0","20239","26.7326","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","CIRO ADAMS","Republican Party","2020-11-03T00:00:00.000","2815","954","0","3769","4.97827","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","CALVIN BROWN","Republican Party","2020-11-03T00:00:00.000","2914","786","0","3700","4.88713","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","JAMES SPADOLA","Republican Party","2020-11-03T00:00:00.000","4732","2342","0","7074","9.34367","2020-11-11T14:45:36.000","2020 General Election"
"Wilm City Council at Large","RONNELL EDWARD PAGE","Independent Party Of Delaware","2020-11-03T00:00:00.000","1009","543","0","1552","2.04995","2020-11-11T14:45:36.000","2020 General Election"
"KC Clerk of the Peace","BRENDA WOOTTEN","Democratic Party","2020-11-03T00:00:00.000","26511","17894","0","44405","52.9501","2020-11-11T14:45:36.000","2020 General Election"
"KC Clerk of the Peace","KIMBERLY PETTERS","Republican Party","2020-11-03T00:00:00.000","32083","5860","0","37943","45.2446","2020-11-11T14:45:36.000","2020 General Election"
"KC Clerk of the Peace","WILLIAM MCVAY","Libertarian Party","2020-11-03T00:00:00.000","952","562","0","1514","1.80535","2020-11-11T14:45:36.000","2020 General Election"
"KC Register of Wills","HAROLD K. BRODE","Democratic Party","2020-11-03T00:00:00.000","25974","17421","0","43395","51.8818","2020-11-11T14:45:36.000","2020 General Election"
"KC Register of Wills","JOHN P. KELLY III","Republican Party","2020-11-03T00:00:00.000","33365","6882","0","40247","48.1182","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 1","JOANNE H. MASTEN","Democratic Party","2020-11-03T00:00:00.000","6873","3825","0","10698","61.7774","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 1","DOUG CHERVENAK","Republican Party","2020-11-03T00:00:00.000","5651","968","0","6619","38.2226","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 3","ALLAN ANGEL","Democratic Party","2020-11-03T00:00:00.000","4362","3119","0","7481","65.8597","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 3","WELTON SATCHELL","Republican Party","2020-11-03T00:00:00.000","3120","758","0","3878","34.1403","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 5","GEORGE ""JODY"" SWEENEY","Democratic Party","2020-11-03T00:00:00.000","4352","3021","0","7373","57.1994","2020-11-11T14:45:36.000","2020 General Election"
"Levy Court District 5","CLINT BROTHERS","Republican Party","2020-11-03T00:00:00.000","4504","1013","0","5517","42.8006","2020-11-11T14:45:36.000","2020 General Election"
"SC Clerk of the Peace","NORMAN ""JAY"" JONES JR.","Republican Party","2020-11-03T00:00:00.000","62870","26217","0","89087","100","2020-11-11T14:45:36.000","2020 General Election"
"SC County Council District 1","HUNTER HASTINGS","Democratic Party","2020-11-03T00:00:00.000","3667","2504","0","6171","34.7193","2020-11-11T14:45:36.000","2020 General Election"
"SC County Council District 1","MICHAEL H. VINCENT","Republican Party","2020-11-03T00:00:00.000","9688","1915","0","11603","65.2807","2020-11-11T14:45:36.000","2020 General Election"
"SC County Council District 2","CYNTHIA C. GREEN","Republican Party","2020-11-03T00:00:00.000","9753","2676","0","12429","100","2020-11-11T14:45:36.000","2020 General Election"
"SC County Council District 3","MARK G. SCHAEFFER","Republican Party","2020-11-03T00:00:00.000","11155","5403","0","16558","100","2020-11-11T14:45:36.000","2020 General Election"
