state,electionYear,jurisdictionCode,jurisdictionName,level,vendor,systemName,equipmentType,usage,paperRecord,standardSystem,accessibleSystem,absenteeSystem,pollBookSystem,tabulation,registeredVoters,precincts,pollingPlaces,sourceDocumentId,sourceUrl,caveat
VT,2024,VT-001,Addison County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,31255,23,23,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-003,Bennington County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,31642,17,17,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-005,Caledonia County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,22135,17,17,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-007,Chittenden County,county,Dominion,Democracy Live OmniBallot Tablet +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Optical Scan,103708,28,28,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-009,Essex County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,4895,13,13,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-011,Franklin County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,44297,15,15,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-013,Grand Isle County,county,Dominion,Democracy Live OmniBallot Tablet +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Optical Scan,6005,5,5,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-015,Lamoille County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,18489,10,10,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-017,Orange County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,22638,17,17,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
VT,2024,VT-019,Orleans County,county,Dominion,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,19585,19,19,verified-voting-verifier-vt-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/50,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
